"Fixed Acidity","pH","Alcohol","Quality","Type"
7.8,3.41,9.2,6,"Red"
8.3,3.31,9.6,6,"Red"
7.8,3.43,9.2,6,"Red"
9.6,3.19,10,7,"Red"
5.6,3.56,12.9,8,"Red"
13.7,3.06,10,6,"Red"
9.5,3.18,9.5,5,"Red"
8.4,3.16,9.1,5,"Red"
12.7,3.03,9.9,5,"Red"
12,3.22,13,7,"Red"
6.6,3.47,9.9,5,"Red"
11.5,3.18,11,6,"Red"
11.5,3.18,11,6,"Red"
8.7,3.1,9.4,5,"Red"
6.6,3.47,9.9,5,"Red"
7.7,3.29,10.8,6,"Red"
12.2,3.1,10.5,6,"Red"
11.4,3.15,10.5,6,"Red"
7.7,3.26,9.1,5,"Red"
8.7,3.36,10.1,6,"Red"
9.8,3.24,10.8,6,"Red"
12,3.18,10.8,7,"Red"
10.4,3.19,11.3,6,"Red"
12.5,3.05,9.6,4,"Red"
9,3.38,9.5,6,"Red"
9.1,3.38,9.5,5,"Red"
7.1,3.27,9.3,5,"Red"
9.9,3.27,11.7,7,"Red"
8.8,3.26,9.5,5,"Red"
8.6,3.32,9.3,5,"Red"
10.6,3.26,11.7,6,"Red"
7,3.44,10.5,5,"Red"
11.9,3.24,10.4,6,"Red"
6.8,3.62,9.9,5,"Red"
9.5,3.28,11.8,7,"Red"
6.6,3.52,12.3,7,"Red"
7.7,3.36,10.9,5,"Red"
10.5,3.15,11,7,"Red"
7.7,3.36,10.9,5,"Red"
6.6,3.52,12.3,7,"Red"
6.4,3.49,11.4,6,"Red"
9.5,3.26,10.6,6,"Red"
9.1,3.24,9.3,5,"Red"
12.8,3.1,10.4,6,"Red"
10.5,3.15,11,7,"Red"
7.8,3.25,9.2,5,"Red"
11.9,3,12.8,6,"Red"
12.3,3.16,9.5,5,"Red"
10.4,3.15,9.9,6,"Red"
12.3,3.16,9.5,5,"Red"
8,3.26,10.2,6,"Red"
11.1,3.17,11.2,6,"Red"
10.4,3.15,9.9,6,"Red"
7,3.08,9.3,5,"Red"
12.6,2.88,9.8,8,"Red"
11.9,3.06,11.3,6,"Red"
15.6,2.95,11.2,7,"Red"
10,3.23,11.6,7,"Red"
5.3,3.57,12.5,7,"Red"
9.5,3.23,10.1,6,"Red"
12.5,3.1,10.5,5,"Red"
9.3,3.22,11.2,5,"Red"
8.6,3.2,10.2,6,"Red"
11.9,3.1,10.8,6,"Red"
11.9,3.1,10.8,6,"Red"
8.4,3.06,9.1,6,"Red"
6.8,3.44,10,6,"Red"
10.4,3.26,11.2,7,"Red"
7,3.5,11.1,5,"Red"
11.3,3.22,13.4,8,"Red"
8.9,3.37,10.3,5,"Red"
9.2,3.28,9.6,5,"Red"
10.4,3.26,11.2,7,"Red"
11.6,3.25,9,3,"Red"
9.2,3.35,11.3,6,"Red"
8.3,3.26,9.3,5,"Red"
11,3.18,11.8,5,"Red"
8.1,3.08,9,5,"Red"
11.5,2.98,9.2,6,"Red"
10,3.48,9.7,5,"Red"
10.3,3.16,11.5,6,"Red"
8.8,3.32,14,6,"Red"
11.4,3.17,9.2,6,"Red"
8.7,3.2,9.8,5,"Red"
13,3.05,10.6,5,"Red"
9.6,3.2,11.4,6,"Red"
12.5,3.15,10.4,6,"Red"
9.9,3.26,10.6,5,"Red"
10.5,3.2,9.4,6,"Red"
9.6,3.14,10.2,5,"Red"
9.3,3.28,9.7,5,"Red"
10.4,3.18,11,6,"Red"
9.6,3.14,10.2,5,"Red"
9.4,3.19,10.1,6,"Red"
10.6,3.12,9.2,5,"Red"
9.4,3.15,11.7,8,"Red"
10.6,3.04,9.4,5,"Red"
10.6,3.04,9.4,5,"Red"
10.6,3.06,13.4,6,"Red"
10.2,3.17,10,5,"Red"
10.2,3.17,10,5,"Red"
10.2,3.17,10,6,"Red"
11.6,3.32,10.8,7,"Red"
9.3,3.34,10.2,6,"Red"
9.3,3.31,10.6,6,"Red"
9.2,3.34,13.3,7,"Red"
8.9,3.32,13.4,7,"Red"
8.7,3.48,11.6,6,"Red"
6.5,3.44,12.1,6,"Red"
10.7,3.15,11,8,"Red"
7.8,3.43,9,6,"Red"
7.2,3.32,11.1,5,"Red"
10.7,3.15,11,8,"Red"
8.7,3.48,11.6,6,"Red"
7.8,3.43,9,6,"Red"
10.4,3.17,12,7,"Red"
10.4,3.17,12,7,"Red"
10.5,3.18,10.9,7,"Red"
10.5,3.21,10.8,7,"Red"
10.2,3.16,12.5,7,"Red"
10.4,3.25,10.8,7,"Red"
11.2,3.17,9.5,6,"Red"
10,3.18,10.2,6,"Red"
13.3,3.04,11.4,7,"Red"
12.4,3.02,9.5,5,"Red"
10,3.18,10.2,6,"Red"
10.7,3.03,9.7,6,"Red"
10.5,3.09,11.8,7,"Red"
10.5,3.09,11.8,7,"Red"
8.5,3.31,9.3,5,"Red"
12.5,3.25,11.9,6,"Red"
10.4,3.16,8.4,3,"Red"
10.9,3.22,11.7,6,"Red"
7.3,3.36,11,5,"Red"
9.8,3.42,10,6,"Red"
7.6,3.48,9.1,5,"Red"
8.2,3.38,9.8,5,"Red"
9.3,3.22,9.4,5,"Red"
9.2,3.23,9.5,5,"Red"
10.4,3.24,9.9,5,"Red"
7.3,3.36,11,5,"Red"
7,3.39,11.4,6,"Red"
8.2,3.34,8.7,6,"Red"
9.9,3.09,9.4,5,"Red"
9.1,3.41,10.3,6,"Red"
11.9,3.16,10.3,5,"Red"
11.9,3.16,10.3,5,"Red"
10.3,3.22,12.8,6,"Red"
10,3.28,10,6,"Red"
9.1,3.41,10.3,6,"Red"
9.9,3.09,9.4,5,"Red"
8.1,3.37,10.7,6,"Red"
12.9,3.2,12,7,"Red"
11.2,3.22,11.2,5,"Red"
9.2,3.26,9.6,5,"Red"
9.5,3.21,11,6,"Red"
9.3,3.12,9.9,5,"Red"
11.2,3.06,11,6,"Red"
14.3,2.86,8.4,6,"Red"
9.1,3.08,9.1,5,"Red"
7.5,3.45,9.5,6,"Red"
10.6,3.26,10.7,6,"Red"
12.4,3.12,10.4,6,"Red"
9,3.27,9.4,6,"Red"
6.8,3.33,9.5,6,"Red"
9.4,3.19,10,6,"Red"
9.5,3.12,10,6,"Red"
5,3.74,11.5,5,"Red"
15.5,2.92,11.1,5,"Red"
15.5,2.92,11.1,5,"Red"
10.9,3.07,11.7,6,"Red"
15.6,2.92,11.1,5,"Red"
10.9,3.07,11.7,6,"Red"
13,3.3,12.7,6,"Red"
12.7,3.14,11.4,5,"Red"
9,3.23,9.2,5,"Red"
9,3.08,9.2,5,"Red"
7.6,3.31,10.1,6,"Red"
13,3.3,12.7,6,"Red"
12.7,3.14,11.4,5,"Red"
8.7,3.32,9,6,"Red"
8.7,3.32,9,6,"Red"
9.8,3.31,10.7,6,"Red"
6.2,3.57,11.7,6,"Red"
11.5,3.32,11,6,"Red"
6.2,3.57,11.7,6,"Red"
10.2,3.14,10.4,5,"Red"
10.5,3.3,9.6,4,"Red"
10.6,3.19,10,6,"Red"
12.3,3.2,10.2,6,"Red"
9.9,3.34,10,4,"Red"
8.8,3.3,9.5,5,"Red"
8.8,3.29,9.8,5,"Red"
10.6,3.14,9.8,6,"Red"
12.3,3.19,9.6,5,"Red"
12.3,3.19,9.6,5,"Red"
11.7,3.19,9.2,5,"Red"
12,2.98,9.9,7,"Red"
11.8,3.3,10.7,7,"Red"
7.6,3.47,9.6,6,"Red"
11.1,3.12,10.6,7,"Red"
7.3,3.26,9.3,5,"Red"
5,3.72,14,8,"Red"
10.2,3.05,10.5,7,"Red"
9,3.35,9.7,5,"Red"
6.6,3.12,11.5,6,"Red"
9,3.35,9.7,5,"Red"
9.9,3.29,9,5,"Red"
7.9,3.4,9.5,5,"Red"
8.9,3.27,9.3,5,"Red"
12.4,3.04,9.3,6,"Red"
11.9,3.09,10,6,"Red"
8.5,3.2,9.8,6,"Red"
12.7,3,9.3,6,"Red"
8.2,3.26,10,4,"Red"
13.2,3.1,9,6,"Red"
7.7,3.3,9.3,5,"Red"
13.2,3.1,9,6,"Red"
8.3,3.17,9.1,6,"Red"
8.3,3.31,9.2,6,"Red"
9.4,3.34,12.2,7,"Red"
8.8,3.31,10.5,6,"Red"
10.1,3.32,10.4,6,"Red"
6.3,3.56,12.7,6,"Red"
8.8,3.39,9.2,5,"Red"
13.2,2.98,9.4,5,"Red"
7.5,3.32,10,6,"Red"
8.2,3.26,9.8,5,"Red"
9.2,2.87,10.2,6,"Red"
9.6,3.5,9.7,5,"Red"
9.6,3.5,9.7,5,"Red"
11.5,3.03,9.8,6,"Red"
11.4,3.13,10.2,5,"Red"
11.3,3.09,9.3,5,"Red"
8.3,3.27,9.4,5,"Red"
8.2,3.28,9.4,5,"Red"
10,3.13,9.5,5,"Red"
7.9,3.49,12.1,6,"Red"
6.8,3.46,10.2,5,"Red"
6.8,3.46,10.2,5,"Red"
8.8,3.36,9.1,5,"Red"
8.8,3.36,9.1,5,"Red"
8.7,3.27,9.3,6,"Red"
7.6,3.21,9.3,5,"Red"
8.7,3.27,9.3,6,"Red"
10.4,3.25,9.5,5,"Red"
7.6,3.32,10.5,6,"Red"
10.1,3.43,11.3,4,"Red"
7.9,3.27,9.5,5,"Red"
8.7,3.27,9.7,5,"Red"
9.6,3.24,9.4,5,"Red"
9.5,3.24,9.4,5,"Red"
7.7,3.35,10.2,7,"Red"
8.9,3.18,10.3,6,"Red"
9.9,3.39,9.4,5,"Red"
9.5,3.46,9.5,5,"Red"
9.9,3.39,9.4,5,"Red"
9.5,3.46,9.5,5,"Red"
9.9,3.39,9.4,5,"Red"
7.8,3.37,10.1,7,"Red"
7.3,3.4,10.1,5,"Red"
8.3,3.32,11,4,"Red"
8.7,3.33,11.2,7,"Red"
6.7,3.16,11.3,6,"Red"
10.7,2.89,9.6,5,"Red"
9.8,3.41,11.2,5,"Red"
15.9,2.98,14.9,5,"Red"
9.4,3.12,12,6,"Red"
8.6,3.08,9.5,5,"Red"
9.7,3.14,9.4,5,"Red"
10.7,2.89,9.6,5,"Red"
12,2.92,10.5,7,"Red"
7.2,3.32,9.6,6,"Red"
7.1,3.41,11,4,"Red"
7.2,3.32,9.6,6,"Red"
7.5,3.31,9,5,"Red"
7.2,3.36,9.6,6,"Red"
10.1,3.04,10.2,6,"Red"
12.1,3.03,10.2,5,"Red"
9.4,3.14,9.7,5,"Red"
8.3,3.18,9.5,6,"Red"
11.3,2.94,9.2,6,"Red"
10,3.15,11,5,"Red"
11.3,2.94,9.2,6,"Red"
6.9,3.26,10,5,"Red"
8.2,3.2,9.5,5,"Red"
9.8,3.15,9.5,5,"Red"
8.2,3.2,9.5,5,"Red"
10.8,3.08,9.3,6,"Red"
9.3,3.26,10.2,5,"Red"
10.8,3.08,9.3,6,"Red"
8.6,3.4,9.9,5,"Red"
8.3,3.48,10,5,"Red"
10.8,3.13,9.6,5,"Red"
13.3,3.06,9,5,"Red"
8,3.21,10.2,6,"Red"
8.5,3.33,9.8,5,"Red"
8.1,3.37,11.3,5,"Red"
9.8,3.25,9.4,5,"Red"
8.1,3.37,11.3,5,"Red"
7.1,3.44,9.1,5,"Red"
9.1,3.28,9.7,5,"Red"
7.7,3.4,9.4,5,"Red"
8.1,3.3,9.4,5,"Red"
7.4,3.63,10.7,3,"Red"
9.2,3.48,9.8,5,"Red"
8.6,3.03,9,5,"Red"
9,3.32,9.4,5,"Red"
9,3.31,9.4,5,"Red"
5.1,3.9,12.8,6,"Red"
7,3.47,9.5,6,"Red"
7,3.47,9.5,6,"Red"
9.4,3.31,9.7,5,"Red"
11.8,3.11,10.8,6,"Red"
10.6,3.08,10.1,6,"Red"
7,3.47,9.5,6,"Red"
7,3.47,9.4,6,"Red"
7.5,3.32,9.6,4,"Red"
9.1,3.29,9.7,4,"Red"
8.4,3.37,9.9,5,"Red"
7,3.4,10,5,"Red"
7.4,3.37,10.5,5,"Red"
7.8,3.34,11.6,6,"Red"
9.7,3.27,10,6,"Red"
10.6,3.06,10.1,5,"Red"
8.9,3.38,9.5,5,"Red"
8.7,3.36,9.4,5,"Red"
8,3.34,9.4,5,"Red"
9.9,3.28,9.8,5,"Red"
7.2,3.29,9.2,6,"Red"
8,3.34,9.4,5,"Red"
7.6,3.21,10,5,"Red"
8.4,3.22,9.6,5,"Red"
7.1,3.46,9.5,5,"Red"
8.4,3.22,9.6,5,"Red"
8.9,3.1,9.2,5,"Red"
7.6,3.21,10,5,"Red"
7.1,2.94,9.5,5,"Red"
7.5,3.54,11.2,4,"Red"
9,3.29,10.4,5,"Red"
8.1,3.43,11.1,6,"Red"
6.4,3.46,9.5,5,"Red"
6.4,3.46,9.5,5,"Red"
6.4,3.61,12.7,6,"Red"
9.5,3.17,9.6,5,"Red"
8.9,3.44,11.5,5,"Red"
7.3,3.39,9.6,5,"Red"
7,3.55,9.5,5,"Red"
7.7,3.48,9.3,5,"Red"
7.7,3.26,9.5,5,"Red"
7.7,3.26,9.5,5,"Red"
8.2,3.5,9.3,6,"Red"
9,3.1,9.2,5,"Red"
9,3.35,9.3,5,"Red"
8.3,3.45,11.5,6,"Red"
9.2,3.21,9.5,5,"Red"
6.5,3.46,9.2,5,"Red"
11.6,3.13,10,5,"Red"
11.1,3.13,9.5,5,"Red"
7.3,3.52,9.5,6,"Red"
8.2,3.3,9,6,"Red"
8.6,3.3,9.4,5,"Red"
7.2,3.52,9.6,6,"Red"
7.3,3.52,9.5,6,"Red"
8.3,3.29,9.5,5,"Red"
8.3,3.29,9.5,5,"Red"
7.6,3.39,9.4,5,"Red"
